"sim.ID","param.name","param.stat","param.stat.val"
"SIM_sim_2_2_20251111_144446","trait.dispersal","mean",1
"SIM_sim_2_2_20251111_144446","trait.Ef","mean",0.642930986033753
"SIM_sim_2_2_20251111_144446","trait.Ef.sd","mean",0.1
"SIM_sim_2_2_20251111_144446","regional.RA","mean",0.1
"SIM_sim_2_2_20251111_144446","trait.dispersal","sd",0
"SIM_sim_2_2_20251111_144446","trait.Ef","sd",0.284581687262547
"SIM_sim_2_2_20251111_144446","trait.Ef.sd","sd",0
"SIM_sim_2_2_20251111_144446","regional.RA","sd",0
"SIM_sim_2_3_20251111_144456","n.sites","fixed_value",50
"SIM_sim_2_3_20251111_144456","n.timestep","fixed_value",100
"SIM_sim_2_3_20251111_144456","alpha.fisher","fixed_value",1
"SIM_sim_2_3_20251111_144456","nu.sim","fixed_value",0
"SIM_sim_2_3_20251111_144456","JM","fixed_value",1e+06
"SIM_sim_2_3_20251111_144456","W.r","fixed_value",5
"SIM_sim_2_3_20251111_144456","area.m2","mean",1
"SIM_sim_2_3_20251111_144456","JL","mean",20000
"SIM_sim_2_3_20251111_144456","Ef","mean",0.521654093656689
"SIM_sim_2_3_20251111_144456","Ef.specificity","mean",0
"SIM_sim_2_3_20251111_144456","IL","mean",1052.57894736842
"SIM_sim_2_3_20251111_144456","m","mean",0.05
"SIM_sim_2_3_20251111_144456","area.m2","sd",0
"SIM_sim_2_3_20251111_144456","JL","sd",0
"SIM_sim_2_3_20251111_144456","Ef","sd",0.304477168431621
"SIM_sim_2_3_20251111_144456","Ef.specificity","sd",0
"SIM_sim_2_3_20251111_144456","IL","sd",0
"SIM_sim_2_3_20251111_144456","m","sd",0
"SIM_sim_2_3_20251111_144456","trait.dispersal","mean",1
"SIM_sim_2_3_20251111_144456","trait.Ef","mean",0.614109783410095
"SIM_sim_2_3_20251111_144456","trait.Ef.sd","mean",0.1
"SIM_sim_2_3_20251111_144456","regional.RA","mean",0.1
"SIM_sim_2_3_20251111_144456","trait.dispersal","sd",0
"SIM_sim_2_3_20251111_144456","trait.Ef","sd",0.352212024938011
"SIM_sim_2_3_20251111_144456","trait.Ef.sd","sd",0
"SIM_sim_2_3_20251111_144456","regional.RA","sd",0
"SIM_sim_2_4_20251111_144506","n.sites","fixed_value",50
"SIM_sim_2_4_20251111_144506","n.timestep","fixed_value",100
"SIM_sim_2_4_20251111_144506","alpha.fisher","fixed_value",1
"SIM_sim_2_4_20251111_144506","nu.sim","fixed_value",0
"SIM_sim_2_4_20251111_144506","JM","fixed_value",1e+06
"SIM_sim_2_4_20251111_144506","W.r","fixed_value",10
"SIM_sim_2_4_20251111_144506","area.m2","mean",1
"SIM_sim_2_4_20251111_144506","JL","mean",20000
"SIM_sim_2_4_20251111_144506","Ef","mean",0.521654093656689
"SIM_sim_2_4_20251111_144506","Ef.specificity","mean",0
"SIM_sim_2_4_20251111_144506","IL","mean",1052.57894736842
"SIM_sim_2_4_20251111_144506","m","mean",0.05
"SIM_sim_2_4_20251111_144506","area.m2","sd",0
"SIM_sim_2_4_20251111_144506","JL","sd",0
"SIM_sim_2_4_20251111_144506","Ef","sd",0.304477168431621
"SIM_sim_2_4_20251111_144506","Ef.specificity","sd",0
"SIM_sim_2_4_20251111_144506","IL","sd",0
"SIM_sim_2_4_20251111_144506","m","sd",0
"SIM_sim_2_4_20251111_144506","trait.dispersal","mean",1
"SIM_sim_2_4_20251111_144506","trait.Ef","mean",0.422507288260385
"SIM_sim_2_4_20251111_144506","trait.Ef.sd","mean",0.1
"SIM_sim_2_4_20251111_144506","regional.RA","mean",0.1
"SIM_sim_2_4_20251111_144506","trait.dispersal","sd",0
"SIM_sim_2_4_20251111_144506","trait.Ef","sd",0.276259211113406
"SIM_sim_2_4_20251111_144506","trait.Ef.sd","sd",0
"SIM_sim_2_4_20251111_144506","regional.RA","sd",0
"SIM_sim_2_5_20251111_144516","n.sites","fixed_value",50
"SIM_sim_2_5_20251111_144516","n.timestep","fixed_value",100
"SIM_sim_2_5_20251111_144516","alpha.fisher","fixed_value",1
"SIM_sim_2_5_20251111_144516","nu.sim","fixed_value",0
"SIM_sim_2_5_20251111_144516","JM","fixed_value",1e+06
"SIM_sim_2_5_20251111_144516","W.r","fixed_value",1000
"SIM_sim_2_5_20251111_144516","area.m2","mean",1
"SIM_sim_2_5_20251111_144516","JL","mean",20000
"SIM_sim_2_5_20251111_144516","Ef","mean",0.521654093656689
"SIM_sim_2_5_20251111_144516","Ef.specificity","mean",0
"SIM_sim_2_5_20251111_144516","IL","mean",1052.57894736842
"SIM_sim_2_5_20251111_144516","m","mean",0.05
"SIM_sim_2_5_20251111_144516","area.m2","sd",0
"SIM_sim_2_5_20251111_144516","JL","sd",0
"SIM_sim_2_5_20251111_144516","Ef","sd",0.304477168431621
"SIM_sim_2_5_20251111_144516","Ef.specificity","sd",0
"SIM_sim_2_5_20251111_144516","IL","sd",0
"SIM_sim_2_5_20251111_144516","m","sd",0
"SIM_sim_2_5_20251111_144516","trait.dispersal","mean",1
"SIM_sim_2_5_20251111_144516","trait.Ef","mean",0.571761675435118
"SIM_sim_2_5_20251111_144516","trait.Ef.sd","mean",0.1
"SIM_sim_2_5_20251111_144516","regional.RA","mean",0.1
"SIM_sim_2_5_20251111_144516","trait.dispersal","sd",0
"SIM_sim_2_5_20251111_144516","trait.Ef","sd",0.248795806550234
"SIM_sim_2_5_20251111_144516","trait.Ef.sd","sd",0
"SIM_sim_2_5_20251111_144516","regional.RA","sd",0
"SIM_sim_2_6_20251111_144526","n.sites","fixed_value",50
"SIM_sim_2_6_20251111_144526","n.timestep","fixed_value",100
"SIM_sim_2_6_20251111_144526","alpha.fisher","fixed_value",1
"SIM_sim_2_6_20251111_144526","nu.sim","fixed_value",0
"SIM_sim_2_6_20251111_144526","JM","fixed_value",1e+06
"SIM_sim_2_6_20251111_144526","W.r","fixed_value",5e+06
"SIM_sim_2_6_20251111_144526","area.m2","mean",1
"SIM_sim_2_6_20251111_144526","JL","mean",20000
"SIM_sim_2_6_20251111_144526","Ef","mean",0.521654093656689
"SIM_sim_2_6_20251111_144526","Ef.specificity","mean",0
"SIM_sim_2_6_20251111_144526","IL","mean",1052.57894736842
"SIM_sim_2_6_20251111_144526","m","mean",0.05
"SIM_sim_2_6_20251111_144526","area.m2","sd",0
"SIM_sim_2_6_20251111_144526","JL","sd",0
"SIM_sim_2_6_20251111_144526","Ef","sd",0.304477168431621
"SIM_sim_2_6_20251111_144526","Ef.specificity","sd",0
"SIM_sim_2_6_20251111_144526","IL","sd",0
"SIM_sim_2_6_20251111_144526","m","sd",0
"SIM_sim_2_6_20251111_144526","trait.dispersal","mean",1
"SIM_sim_2_6_20251111_144526","trait.Ef","mean",0.489044844661839
"SIM_sim_2_6_20251111_144526","trait.Ef.sd","mean",0.1
"SIM_sim_2_6_20251111_144526","regional.RA","mean",0.1
"SIM_sim_2_6_20251111_144526","trait.dispersal","sd",0
"SIM_sim_2_6_20251111_144526","trait.Ef","sd",0.328750419410036
"SIM_sim_2_6_20251111_144526","trait.Ef.sd","sd",0
"SIM_sim_2_6_20251111_144526","regional.RA","sd",0
"SIM_sim_3_1_20251111_144537","n.sites","fixed_value",50
"SIM_sim_3_1_20251111_144537","n.timestep","fixed_value",100
"SIM_sim_3_1_20251111_144537","alpha.fisher","fixed_value",1
"SIM_sim_3_1_20251111_144537","nu.sim","fixed_value",0
"SIM_sim_3_1_20251111_144537","JM","fixed_value",1e+06
"SIM_sim_3_1_20251111_144537","W.r","fixed_value",0
"SIM_sim_3_1_20251111_144537","area.m2","mean",1
"SIM_sim_3_1_20251111_144537","JL","mean",20000
"SIM_sim_3_1_20251111_144537","Ef","mean",0.521654093656689
"SIM_sim_3_1_20251111_144537","Ef.specificity","mean",0
"SIM_sim_3_1_20251111_144537","IL","mean",1052.57894736842
"SIM_sim_3_1_20251111_144537","m","mean",0.05
"SIM_sim_3_1_20251111_144537","area.m2","sd",0
"SIM_sim_3_1_20251111_144537","JL","sd",0
"SIM_sim_3_1_20251111_144537","Ef","sd",0.304477168431621
"SIM_sim_3_1_20251111_144537","Ef.specificity","sd",0
"SIM_sim_3_1_20251111_144537","IL","sd",0
"SIM_sim_3_1_20251111_144537","m","sd",0
"SIM_sim_3_1_20251111_144537","trait.dispersal","mean",1
"SIM_sim_3_1_20251111_144537","trait.Ef","mean",0.363202192867175
"SIM_sim_3_1_20251111_144537","trait.Ef.sd","mean",2
"SIM_sim_3_1_20251111_144537","regional.RA","mean",0.1
"SIM_sim_3_1_20251111_144537","trait.dispersal","sd",0
"SIM_sim_3_1_20251111_144537","trait.Ef","sd",0.252404043904924
"SIM_sim_3_1_20251111_144537","trait.Ef.sd","sd",0
"SIM_sim_3_1_20251111_144537","regional.RA","sd",0
"SIM_sim_3_2_20251111_144547","n.sites","fixed_value",50
"SIM_sim_3_2_20251111_144547","n.timestep","fixed_value",100
"SIM_sim_3_2_20251111_144547","alpha.fisher","fixed_value",1
"SIM_sim_3_2_20251111_144547","nu.sim","fixed_value",0
"SIM_sim_3_2_20251111_144547","JM","fixed_value",1e+06
"SIM_sim_3_2_20251111_144547","W.r","fixed_value",2
"SIM_sim_3_2_20251111_144547","area.m2","mean",1
"SIM_sim_3_2_20251111_144547","JL","mean",20000
"SIM_sim_3_2_20251111_144547","Ef","mean",0.521654093656689
"SIM_sim_3_2_20251111_144547","Ef.specificity","mean",0
"SIM_sim_3_2_20251111_144547","IL","mean",1052.57894736842
"SIM_sim_3_2_20251111_144547","m","mean",0.05
"SIM_sim_3_2_20251111_144547","area.m2","sd",0
"SIM_sim_3_2_20251111_144547","JL","sd",0
"SIM_sim_3_2_20251111_144547","Ef","sd",0.304477168431621
"SIM_sim_3_2_20251111_144547","Ef.specificity","sd",0
"SIM_sim_3_2_20251111_144547","IL","sd",0
"SIM_sim_3_2_20251111_144547","m","sd",0
"SIM_sim_3_2_20251111_144547","trait.dispersal","mean",1
"SIM_sim_3_2_20251111_144547","trait.Ef","mean",0.334578482410871
"SIM_sim_3_2_20251111_144547","trait.Ef.sd","mean",2
"SIM_sim_3_2_20251111_144547","regional.RA","mean",0.1
"SIM_sim_3_2_20251111_144547","trait.dispersal","sd",0
"SIM_sim_3_2_20251111_144547","trait.Ef","sd",0.217510708508458
"SIM_sim_3_2_20251111_144547","trait.Ef.sd","sd",0
"SIM_sim_3_2_20251111_144547","regional.RA","sd",0
"SIM_sim_3_3_20251111_144558","n.sites","fixed_value",50
"SIM_sim_3_3_20251111_144558","n.timestep","fixed_value",100
"SIM_sim_3_3_20251111_144558","alpha.fisher","fixed_value",1
"SIM_sim_3_3_20251111_144558","nu.sim","fixed_value",0
"SIM_sim_3_3_20251111_144558","JM","fixed_value",1e+06
"SIM_sim_3_3_20251111_144558","W.r","fixed_value",5
"SIM_sim_3_3_20251111_144558","area.m2","mean",1
"SIM_sim_3_3_20251111_144558","JL","mean",20000
"SIM_sim_3_3_20251111_144558","Ef","mean",0.521654093656689
"SIM_sim_3_3_20251111_144558","Ef.specificity","mean",0
"SIM_sim_3_3_20251111_144558","IL","mean",1052.57894736842
"SIM_sim_3_3_20251111_144558","m","mean",0.05
"SIM_sim_3_3_20251111_144558","area.m2","sd",0
"SIM_sim_3_3_20251111_144558","JL","sd",0
"SIM_sim_3_3_20251111_144558","Ef","sd",0.304477168431621
"SIM_sim_3_3_20251111_144558","Ef.specificity","sd",0
"SIM_sim_3_3_20251111_144558","IL","sd",0
"SIM_sim_3_3_20251111_144558","m","sd",0
"SIM_sim_3_3_20251111_144558","trait.dispersal","mean",1
"SIM_sim_3_3_20251111_144558","trait.Ef","mean",0.465744793368503
"SIM_sim_3_3_20251111_144558","trait.Ef.sd","mean",2
"SIM_sim_3_3_20251111_144558","regional.RA","mean",0.1
"SIM_sim_3_3_20251111_144558","trait.dispersal","sd",0
"SIM_sim_3_3_20251111_144558","trait.Ef","sd",0.354921922272983
"SIM_sim_3_3_20251111_144558","trait.Ef.sd","sd",0
"SIM_sim_3_3_20251111_144558","regional.RA","sd",0
"SIM_sim_3_4_20251111_144609","n.sites","fixed_value",50
"SIM_sim_3_4_20251111_144609","n.timestep","fixed_value",100
"SIM_sim_3_4_20251111_144609","alpha.fisher","fixed_value",1
"SIM_sim_3_4_20251111_144609","nu.sim","fixed_value",0
"SIM_sim_3_4_20251111_144609","JM","fixed_value",1e+06
"SIM_sim_3_4_20251111_144609","W.r","fixed_value",10
"SIM_sim_3_4_20251111_144609","area.m2","mean",1
"SIM_sim_3_4_20251111_144609","JL","mean",20000
"SIM_sim_3_4_20251111_144609","Ef","mean",0.521654093656689
"SIM_sim_3_4_20251111_144609","Ef.specificity","mean",0
"SIM_sim_3_4_20251111_144609","IL","mean",1052.57894736842
"SIM_sim_3_4_20251111_144609","m","mean",0.05
"SIM_sim_3_4_20251111_144609","area.m2","sd",0
"SIM_sim_3_4_20251111_144609","JL","sd",0
"SIM_sim_3_4_20251111_144609","Ef","sd",0.304477168431621
"SIM_sim_3_4_20251111_144609","Ef.specificity","sd",0
"SIM_sim_3_4_20251111_144609","IL","sd",0
"SIM_sim_3_4_20251111_144609","m","sd",0
"SIM_sim_3_4_20251111_144609","trait.dispersal","mean",1
"SIM_sim_3_4_20251111_144609","trait.Ef","mean",0.560225132899359
"SIM_sim_3_4_20251111_144609","trait.Ef.sd","mean",2
"SIM_sim_3_4_20251111_144609","regional.RA","mean",0.1
